TITULO,OFERTA,VALORES,VALORES_PROMO,LOCATION,CITY,STATE,METRAGEM,QUARTO,GARAGEM,BANHEIRO,TAG,KEY,FIRST_DAY
Apartamento,ALUGAR,2943,2200,Petrópolis,Porto Alegre,RS,62,2,2,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,419427,31-07-2023
Apartamento,ALUGAR,3098,2490,Tristeza,Porto Alegre,RS,39,1,1,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,346900,31-07-2023
Apartamento,ALUGAR,4400,3960,Jardim Botânico,Porto Alegre,RS,80,2,2,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,365325,31-07-2023
Apartamento,ALUGAR,1500,1350,Cristo Redentor,Porto Alegre,RS,55,1,0,1,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,296760,31-07-2023
Apartamento,ALUGAR,6391,4800,Petrópolis,Porto Alegre,RS,42,1,1,2,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s|E|x|c|l|u|s|i|v|o,361941,31-07-2023
Apartamento,ALUGAR,2950,2065,São Sebastião,Porto Alegre,RS,83,3,2,2,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,394443,31-07-2023
Apartamento,ALUGAR,9000,7200,Jardim Europa,Porto Alegre,RS,163,3,2,4,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,399452,31-07-2023
Apartamento,ALUGAR,2500,2000,Cidade Baixa,Porto Alegre,RS,20,1,1,1,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,417785,31-07-2023
Apartamento,ALUGAR,3300,2970,Petrópolis,Porto Alegre,RS,71,2,1,2,A|u|x|i| |P|l|u|s|A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,421947,31-07-2023
Apartamento,ALUGAR,3000,2700,Chácara das Pedras,Porto Alegre,RS,102,1,1,2,A|L|U|G|A| |R|Á|P|I|D|O| |s|e|m| |F|i|a|d|o|r| |o|u| |G|a|r|a|n|t|i|a|s,421963,31-07-2023
