TITULO,OFERTA,VALORES,VALORES_PROMO,LOCATION,CITY,STATE,METRAGEM,QUARTO,GARAGEM,BANHEIRO,TAG,KEY,FIRST_DAY
Cobertura,COMPRA,1550000,1470000,Bela Vista,Porto Alegre,RS,227,3,3,4,E|x|c|l|u|s|i|v|o,416433,31-07-2023
Apartamento,COMPRA,685000,650000,Higienópolis,Porto Alegre,RS,83,2,2,2,E|x|c|l|u|s|i|v|o,211111,31-07-2023
Apartamento,COMPRA,7550000,6950000,Moinhos de Vento,Porto Alegre,RS,331,3,4,4,A|l|t|o| |P|a|d|r|ã|o|A|v|a|l|i|a| |I|m|ó|v|e|l| |n|o| |n|e|g|ó|c|i|o|P|r|o|n|t|o| |p|a|r|a| |m|o|r|a|r,42799,31-07-2023
Apartamento,COMPRA,490000,465500,Jardim Sabará,Porto Alegre,RS,64,2,2,2,,410876,31-07-2023
Apartamento,COMPRA,400000,355000,Azenha,Porto Alegre,RS,51,2,1,1,E|x|c|l|u|s|i|v|o|P|r|o|n|t|o| |p|a|r|a| |m|o|r|a|r,409912,31-07-2023
Apartamento,COMPRA,398800,375000,Teresópolis,Porto Alegre,RS,72,3,1,2,E|x|c|l|u|s|i|v|o,355785,31-07-2023
Kitnet/JK,COMPRA,307400,210000,Independência,Porto Alegre,RS,66,1,0,1,E|x|c|l|u|s|i|v|o,342267,31-07-2023
Apartamento,COMPRA,215000,215000,Tristeza,Porto Alegre,RS,65,2,1,1,A|v|a|l|i|a| |I|m|ó|v|e|l| |n|o| |n|e|g|ó|c|i|o,378479,31-07-2023
Apartamento,COMPRA,853000,853000,Petrópolis,Porto Alegre,RS,108,3,2,3,,283283,31-07-2023
Apartamento,COMPRA,530000,530000,Menino Deus,Porto Alegre,RS,68,2,1,2,,418824,31-07-2023
Apartamento,COMPRA,698000,698000,Menino Deus,Porto Alegre,RS,91,3,2,3,A|l|t|o| |P|a|d|r|ã|o,221614,31-07-2023
Apartamento,COMPRA,1280000,1280000,Menino Deus,Porto Alegre,RS,184,3,2,3,,421001,31-07-2023
Apartamento,COMPRA,580000,580000,Passo da Areia,Porto Alegre,RS,71,2,2,2,,419873,31-07-2023
Apartamento,COMPRA,930000,930000,Passo da Areia,Porto Alegre,RS,106,3,2,2,A|l|t|o| |P|a|d|r|ã|o,421783,31-07-2023
Apartamento,COMPRA,660000,660000,Bom Fim,Porto Alegre,RS,141,3,0,1,A|v|a|l|i|a| |I|m|ó|v|e|l| |n|o| |n|e|g|ó|c|i|o,344829,31-07-2023
Apartamento,COMPRA,460000,460000,Jardim Botânico,Porto Alegre,RS,69,2,1,3,,423086,31-07-2023
Apartamento,COMPRA,3750000,3750000,Bela Vista,Porto Alegre,RS,420,3,3,4,,424223,31-07-2023
Apartamento,COMPRA,590000,590000,Higienópolis,Porto Alegre,RS,80,2,2,2,,418329,31-07-2023
Apartamento,COMPRA,440000,440000,Cidade Baixa,Porto Alegre,RS,68,2,1,2,,216984,31-07-2023
Apartamento,COMPRA,445000,445000,Petrópolis,Porto Alegre,RS,65,1,1,2,,15610,31-07-2023
Apartamento,COMPRA,390000,390000,Mont Serrat,Porto Alegre,RS,70,3,2,2,A|v|a|l|i|a| |I|m|ó|v|e|l| |n|o| |n|e|g|ó|c|i|o,220340,31-07-2023
Apartamento,COMPRA,620000,620000,Boa Vista,Porto Alegre,RS,82,2,1,2,,422744,31-07-2023
Cobertura,COMPRA,440000,440000,Santana,Porto Alegre,RS,96,2,1,2,,412626,31-07-2023
Apartamento,COMPRA,298000,298000,Independência,Porto Alegre,RS,83,1,1,1,,410167,31-07-2023
Apartamento,COMPRA,225000,225000,Auxiliadora,Porto Alegre,RS,40,1,0,1,,410306,31-07-2023
Apartamento,COMPRA,480000,480000,Cidade Baixa,Porto Alegre,RS,33,1,1,2,,422395,31-07-2023
Apartamento,COMPRA,235000,235000,Centro Histórico,Porto Alegre,RS,52,1,0,2,,391599,31-07-2023
Casa,COMPRA,324000,324000,Hípica,Porto Alegre,RS,86,2,2,3,,403226,31-07-2023
Apartamento,COMPRA,459000,459000,Auxiliadora,Porto Alegre,RS,106,3,1,1,,385141,31-07-2023
Kitnet/JK,COMPRA,165000,165000,Menino Deus,Porto Alegre,RS,32,1,0,1,M|o|b|i|l|i|a|d|o,345969,31-07-2023
Apartamento,COMPRA,249000,249000,Azenha,Porto Alegre,RS,61,2,0,1,,126051,31-07-2023
Casa,COMPRA,650000,650000,Guarujá,Porto Alegre,RS,123,3,2,2,,239328,31-07-2023
Apartamento,COMPRA,225000,225000,Centro Histórico,Porto Alegre,RS,47,1,0,1,,162667,31-07-2023
