TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
LOJA,ALUGAR,3900,1950,AVENIDA,VENANCIO AIRES,CIDADE BAIXA,PORTO ALEGRE,RS,78,0,2,0,429182,1,0,2023-08-05,-,-30.0370093,-51.2092281
SALA/CONJUNTO COMERCIAL,ALUGAR,4655,2328,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,233,0,0,0,342485,1,0,2023-08-05,-,-30.0296388,-51.2232103
LOJA,ALUGAR,6900,3450,AVENIDA,CAIRU,NAVEGANTES,PORTO ALEGRE,RS,170,0,5,0,342742,1,0,2023-08-05,-,-30.006866,-51.1924578
SALA/CONJUNTO COMERCIAL,ALUGAR,1300,1105,RUA,GENERAL VITORINO,CENTRO HISTORICO,PORTO ALEGRE,RS,120,0,0,0,240274,1,0,2023-08-05,-,-30.0282151,-51.0534922
SALA/CONJUNTO COMERCIAL,ALUGAR,2300,2070,RUA,RAMIRO BARCELOS,FLORESTA,PORTO ALEGRE,RS,89,0,1,1,413324,1,0,2023-08-05,-,-30.0287082,-51.2085122
LOJA,ALUGAR,5700,2850,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,106,0,0,0,418004,0,0,2023-08-05,-,-30.0002978,-51.1911983
LOJA,ALUGAR,3000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61,0,0,0,417996,0,0,2023-08-05,-,-30.0002978,-51.1911983
LOJA,ALUGAR,5700,2850,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,106,0,0,0,417997,0,0,2023-08-05,-,-30.0002978,-51.1911983
LOJA,ALUGAR,3000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61,0,0,0,417998,0,0,2023-08-05,-,-30.0002978,-51.1911983
LOJA,ALUGAR,3000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61,0,0,0,417999,0,0,2023-08-05,-,-30.0002978,-51.1911983
LOJA,ALUGAR,3000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61,0,0,0,418000,0,0,2023-08-05,-,-30.0002978,-51.1911983
LOJA,ALUGAR,3000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61,0,0,0,418001,0,0,2023-08-05,-,-30.0002978,-51.1911983
LOJA,ALUGAR,5700,2850,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,106,0,0,0,418003,0,0,2023-08-05,-,-30.0002978,-51.1911983
CASA COMERCIAL,ALUGAR,7000,3500,AVENIDA,PALMEIRA,PETROPOLIS,PORTO ALEGRE,RS,511,0,3,1,409885,0,0,2023-08-05,-,-30.0377945,-51.1801652
SALA/CONJUNTO COMERCIAL,ALUGAR,6500,4550,RUA,GOMES JARDIM,SANTANA,PORTO ALEGRE,RS,75,0,2,0,408075,0,0,2023-08-05,-,-30.048605,-51.2056502
SALA/CONJUNTO COMERCIAL,ALUGAR,1250,875,AVENIDA,GOETHE,RIO BRANCO,PORTO ALEGRE,RS,34,0,0,0,376031,0,0,2023-08-05,-,-30.027087,-51.199371
SALA/CONJUNTO COMERCIAL,ALUGAR,3000,2100,AVENIDA,DIARIO DE NOTICIAS,CRISTAL,PORTO ALEGRE,RS,41,0,0,0,227679,0,0,2023-08-05,-,-30.0875211,-51.2479632
LOJA,ALUGAR,24000,18000,RUA,FELIPE DE OLIVEIRA,PETROPOLIS,PORTO ALEGRE,RS,630,0,12,0,400563,0,0,2023-08-05,-,-30.0423105,-51.203893
