TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALUGA_RAPIDO_SEM_FIADOR_OU_GARANTIAS,AUXI_PLUS,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
APARTAMENTO,ALUGAR,2943,2200,AVENIDA,PROTASIO ALVES,PETROPOLIS,PORTO ALEGRE,RS,62.0,2,2,1,419427,1,1,1,0,2023-08-03,-,-30.0399646,-51.1714215
APARTAMENTO,ALUGAR,3098,2490,RUA,DOUTOR ARMANDO BARBEDO,TRISTEZA,PORTO ALEGRE,RS,39.0,1,1,1,346900,1,1,1,0,2023-08-03,-,-30.1100736,-51.2494348
APARTAMENTO,ALUGAR,4400,3960,RUA,MACHADO DE ASSIS,JARDIM BOTANICO,PORTO ALEGRE,RS,80.0,2,2,1,365325,1,1,1,0,2023-08-03,-,-30.0527929,-51.1928342
APARTAMENTO,ALUGAR,1500,1350,RUA,DOMINGOS MARTINS,CRISTO REDENTOR,PORTO ALEGRE,RS,55.0,1,0,1,296760,1,0,1,0,2023-08-03,-,-30.0088892,-51.1582841
APARTAMENTO,ALUGAR,6391,4800,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,42.0,1,1,2,361941,1,1,1,0,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,2950,2065,RUA,JOSE JULIANO,SAO SEBASTIAO,PORTO ALEGRE,RS,83.0,3,2,2,394443,1,1,0,0,2023-08-03,-,-30.0014549,-51.1425462
APARTAMENTO,ALUGAR,9000,7200,AVENIDA,TULIO DE ROSE,JARDIM EUROPA,PORTO ALEGRE,RS,163.0,3,2,4,399452,1,1,0,0,2023-08-03,-,-30.0228829,-51.1632627
APARTAMENTO,ALUGAR,2500,2000,AVENIDA,JOAO PESSOA,CIDADE BAIXA,PORTO ALEGRE,RS,20.0,1,1,1,417785,1,1,0,0,2023-08-03,-,-30.0470064,-51.211756
APARTAMENTO,ALUGAR,3300,2970,RUA,PROFESSOR CRISTIANO FISCHER,PETROPOLIS,PORTO ALEGRE,RS,71.0,2,1,2,421947,1,1,0,0,2023-08-03,-,-30.0554208,-51.1691642
APARTAMENTO,ALUGAR,3000,2700,AVENIDA,DOUTOR NILO PECANHA,CHACARA DAS PEDRAS,PORTO ALEGRE,RS,102.0,1,1,2,421963,1,0,0,0,2023-08-03,-,-30.0290116,-51.1578614
APARTAMENTO,ALUGAR,2350,2115,RUA,PORTUGAL,SAO JOAO,PORTO ALEGRE,RS,77.0,2,2,1,327370,1,1,0,0,2023-08-03,-,-29.3356403,-49.7424394
CASA EM CONDOMINIO,ALUGAR,4500,4050,TRAVESSA,PEDRA REDONDA,PEDRA REDONDA,PORTO ALEGRE,RS,335.0,4,2,4,265303,1,1,0,0,2023-08-03,-,-30.1268004,-51.2412863
APARTAMENTO,ALUGAR,6962,5500,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,42.0,1,0,2,363208,1,1,0,1,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,1990,1791,RUA,FREDERICO OTAVIO DOMINGUES BARBOSA,SAO SEBASTIAO,PORTO ALEGRE,RS,61.0,2,1,2,324705,0,0,1,0,2023-08-03,-,-30.0056294,-51.1415747
APARTAMENTO,ALUGAR,1750,1575,AVENIDA,JOSE ALOISIO FILHO,HUMAITA,PORTO ALEGRE,RS,58.0,2,1,1,297783,0,0,1,1,2023-08-03,-,-29.9764724,-51.1825072
APARTAMENTO,ALUGAR,7328,6000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,44.0,1,0,1,348685,0,1,1,0,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,7279,6000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,44.0,1,0,1,348694,0,1,1,0,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,7289,6000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,44.0,1,0,1,348696,0,1,1,0,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,1600,1440,AVENIDA,PROTASIO ALVES,PETROPOLIS,PORTO ALEGRE,RS,60.0,3,2,1,340844,0,0,0,0,2023-08-03,-,-30.0399646,-51.1714215
APARTAMENTO,ALUGAR,4841,3600,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,42.0,1,0,2,371948,0,1,0,1,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,3193,2400,RUA,FREDERICO OTAVIO DOMINGUES BARBOSA,SAO SEBASTIAO,PORTO ALEGRE,RS,70.0,2,1,2,421688,1,1,1,0,2023-08-03,-,-30.0056294,-51.1415747
APARTAMENTO,ALUGAR,3548,2800,RUA,ARI MARINHO,HIGIENOPOLIS,PORTO ALEGRE,RS,84.0,2,1,2,418053,1,1,1,0,2023-08-03,-,-30.0132564,-51.1796773
APARTAMENTO,ALUGAR,2501,1800,RUA,SANTANA,FARROUPILHA,PORTO ALEGRE,RS,50.0,2,1,2,393339,1,0,1,1,2023-08-03,-,-30.045428,-51.209781
CASA EM CONDOMINIO,ALUGAR,5167,4500,RUA,LANDEL DE MOURA,TRISTEZA,PORTO ALEGRE,RS,142.0,3,2,2,372322,1,0,1,0,2023-08-03,-,-30.1090502,-51.2352389
APARTAMENTO,ALUGAR,4872,3800,AVENIDA,ANDARAI,PASSO DA AREIA,PORTO ALEGRE,RS,70.0,3,1,2,431718,1,0,1,0,2023-08-03,-,-29.9284627,-51.0643059
APARTAMENTO,ALUGAR,3389,2700,RUA,JOAQUIM CRUZ,SANTO ANTONIO,PORTO ALEGRE,RS,70.0,3,1,2,423898,1,0,1,1,2023-08-03,-,-30.0592444,-51.198199
APARTAMENTO,ALUGAR,4043,3300,RUA,ARI MARINHO,HIGIENOPOLIS,PORTO ALEGRE,RS,83.0,2,2,2,421907,1,0,1,1,2023-08-03,-,-30.0132564,-51.1796773
APARTAMENTO,ALUGAR,3129,2500,AVENIDA,JOAO PESSOA,FARROUPILHA,PORTO ALEGRE,RS,70.0,2,1,1,429925,1,0,1,1,2023-08-03,-,-30.0470064,-51.211756
APARTAMENTO,ALUGAR,5342,4500,RUA,PASSO DA PATRIA,BELA VISTA,PORTO ALEGRE,RS,120.0,3,1,2,418096,1,0,1,0,2023-08-03,-,-30.0376664,-51.1945404
CASA,ALUGAR,4328,4100,RUA,LIBERAL,TRISTEZA,PORTO ALEGRE,RS,105.0,3,0,1,419460,1,0,1,0,2023-08-03,-,-30.1093372,-51.2287885
APARTAMENTO,ALUGAR,3281,2700,RUA,SAPE,PASSO DA AREIA,PORTO ALEGRE,RS,56.0,2,1,2,415085,1,0,1,1,2023-08-03,-,-30.0175997,-51.155847
APARTAMENTO,ALUGAR,4181,3000,RUA,CARLOS VON KOSERITZ,HIGIENOPOLIS,PORTO ALEGRE,RS,134.0,3,1,2,402384,1,0,1,0,2023-08-03,-,-30.0162502,-51.1877327
APARTAMENTO,ALUGAR,6249,5550,RUA,GENERAL CALDWELL,MENINO DEUS,PORTO ALEGRE,RS,85.0,3,2,2,411191,1,0,1,0,2023-08-03,-,-30.0516307,-51.2148543
APARTAMENTO,ALUGAR,4673,3500,RUA,GENERAL COUTO DE MAGALHAES,SAO JOAO,PORTO ALEGRE,RS,115.0,3,2,2,412436,1,0,1,0,2023-08-03,-,-30.0147886,-51.1853308
APARTAMENTO,ALUGAR,2375,2100,RUA,PROFESSOR ABILIO AZAMBUJA,JARDIM DO SALSO,PORTO ALEGRE,RS,42.0,1,0,1,389615,1,0,1,1,2023-08-03,-,-30.0474144,-51.1649083
APARTAMENTO,ALUGAR,1430,1150,RUA,PAULO RENATO KETZER DE SOUZA,RUBEM BERTA,PORTO ALEGRE,RS,38.0,2,0,1,389843,0,0,1,0,2023-08-03,-,-30.0154404,-51.1015604
APARTAMENTO,ALUGAR,3107,2390,RUA,GENERAL LIMA E SILVA,CENTRO HISTORICO,PORTO ALEGRE,RS,50.0,2,1,1,385500,1,0,1,0,2023-08-03,-,-30.0402042,-51.2190355
COBERTURA,ALUGAR,3043,2500,RUA,LIBERO BADARO,PASSO DA AREIA,PORTO ALEGRE,RS,75.0,2,0,2,383654,0,0,1,1,2023-08-03,-,-30.002757,-51.0628987
APARTAMENTO,ALUGAR,5283,4500,RUA,DOUTOR BARROS CASSAL,BOM FIM,PORTO ALEGRE,RS,92.0,3,1,2,384016,1,0,1,0,2023-08-03,-,-30.0277651,-51.2172752
APARTAMENTO,ALUGAR,3115,2300,RUA,JERONYMO ZELMANOVITZ,JARDIM LINDOIA,PORTO ALEGRE,RS,57.0,2,2,2,367633,1,0,1,0,2023-08-03,-,-30.0094886,-51.1463521
APARTAMENTO,ALUGAR,3726,3000,RUA,PROFESSOR FREITAS E CASTRO,AZENHA,PORTO ALEGRE,RS,58.0,1,1,2,377233,1,0,1,1,2023-08-03,-,-30.0470146,-51.2097451
APARTAMENTO,ALUGAR,3698,2900,AVENIDA,DOUTOR NILO PECANHA,CHACARA DAS PEDRAS,PORTO ALEGRE,RS,60.0,1,2,2,381100,0,0,1,0,2023-08-03,-,-30.0290116,-51.1578614
APARTAMENTO,ALUGAR,3969,2800,AVENIDA,DA CAVALHADA,CAVALHADA,PORTO ALEGRE,RS,89.0,2,1,2,341453,1,0,1,0,2023-08-03,-,-30.0953116,-51.225989
APARTAMENTO,ALUGAR,6422,5000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,45.0,1,0,1,362668,1,1,1,0,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,3295,2700,RUA,JOAQUIM CRUZ,SANTO ANTONIO,PORTO ALEGRE,RS,69.0,3,2,2,350703,1,0,1,1,2023-08-03,-,-30.0592444,-51.198199
APARTAMENTO,ALUGAR,3701,2990,RUA,TOMAZ FLORES,INDEPENDENCIA,PORTO ALEGRE,RS,66.0,2,1,1,318619,1,0,1,1,2023-08-03,-,-30.0308315,-51.2159955
APARTAMENTO,ALUGAR,3264,2300,RUA,ALVARES MACHADO,PETROPOLIS,PORTO ALEGRE,RS,110.0,2,0,2,329245,1,0,1,1,2023-08-03,-,-30.0465408,-51.1873954
APARTAMENTO,ALUGAR,3541,2790,RUA,DARIO TOTTA,TERESOPOLIS,PORTO ALEGRE,RS,74.0,3,1,2,326165,1,0,1,0,2023-08-03,-,-29.9197014,-51.053429
APARTAMENTO,ALUGAR,4153,3250,AVENIDA,LUIZ MANOEL GONZAGA,TRES FIGUEIRAS,PORTO ALEGRE,RS,60.0,1,1,1,328598,1,0,1,1,2023-08-03,-,-30.0332832,-51.176097
KITNET/JK,ALUGAR,2854,2250,AVENIDA,IPIRANGA,JARDIM BOTANICO,PORTO ALEGRE,RS,38.0,1,1,1,320097,1,0,1,0,2023-08-03,-,-30.0554878,-51.1692291
APARTAMENTO,ALUGAR,2883,2290,RUA,JOAQUIM CRUZ,SANTO ANTONIO,PORTO ALEGRE,RS,69.0,3,2,2,334914,1,0,1,0,2023-08-03,-,-30.0592444,-51.198199
APARTAMENTO,ALUGAR,2997,2250,AVENIDA,BENTO GONCALVES,PETROPOLIS,PORTO ALEGRE,RS,67.0,2,1,2,299936,1,0,1,1,2023-08-03,-,-30.0760656,-51.1315976
APARTAMENTO,ALUGAR,1715,1350,RUA,ANGELO CRIVELLARO,JARDIM DO SALSO,PORTO ALEGRE,RS,45.0,1,0,1,286958,0,0,1,0,2023-08-03,-,-30.0481076,-51.1647287
APARTAMENTO,ALUGAR,3703,2800,AVENIDA,GRECIA,PASSO DA AREIA,PORTO ALEGRE,RS,71.0,2,1,2,287609,1,0,1,1,2023-08-03,-,-30.0136054,-51.1660884
APARTAMENTO,ALUGAR,3631,2950,RUA,CARLOS SILVEIRA MARTINS PACHECO,CRISTO REDENTOR,PORTO ALEGRE,RS,70.0,3,1,2,289519,0,0,1,0,2023-08-03,-,-30.0112501,-51.1593714
APARTAMENTO,ALUGAR,4382,3000,RUA,RIBEIRO CANCELA,MENINO DEUS,PORTO ALEGRE,RS,121.0,3,1,2,297788,0,0,1,1,2023-08-03,-,-30.0584792,-51.2288371
APARTAMENTO,ALUGAR,4181,3400,AVENIDA,VERISSIMO DE AMARAL,JARDIM EUROPA,PORTO ALEGRE,RS,35.0,1,1,1,253597,1,0,1,1,2023-08-03,-,-30.027676,-51.1588643
APARTAMENTO,ALUGAR,5407,4000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,42.0,1,0,1,367482,1,1,0,1,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,5407,4000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,42.0,1,0,1,367487,1,1,0,1,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,3771,3200,AVENIDA,JOAO PESSOA,CENTRO HISTORICO,PORTO ALEGRE,RS,33.0,1,1,2,421679,1,1,0,1,2023-08-03,-,-30.0470064,-51.211756
APARTAMENTO,ALUGAR,5131,4000,AVENIDA,VERISSIMO DE AMARAL,JARDIM EUROPA,PORTO ALEGRE,RS,72.0,1,2,2,428898,1,1,0,1,2023-08-03,-,-30.027676,-51.1588643
APARTAMENTO GARDEN,ALUGAR,2285,1750,RUA,JOSE DE ALENCAR,MENINO DEUS,PORTO ALEGRE,RS,30.0,1,1,1,419771,0,0,0,0,2023-08-03,-,-30.0602814,-51.2241287
APARTAMENTO,ALUGAR,3408,2950,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,24.0,1,0,2,411816,0,0,0,0,2023-08-03,-,-30.0279761,-51.2058778
APARTAMENTO,ALUGAR,5537,4000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,43.0,1,1,2,393354,1,0,0,0,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,3298,3000,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,27.0,1,0,1,430111,1,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,3202,2900,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,27.0,1,0,1,431437,1,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,4268,3400,RUA,GENERAL JOAO TELLES,BOM FIM,PORTO ALEGRE,RS,101.0,2,1,2,431570,1,0,0,0,2023-08-03,-,-30.0322625,-51.2124507
APARTAMENTO,ALUGAR,10254,8000,RUA,GENERAL OSCAR MIRANDA,BELA VISTA,PORTO ALEGRE,RS,160.0,3,2,2,432214,1,0,0,0,2023-08-03,-,-30.0324351,-51.1922107
APARTAMENTO,ALUGAR,4513,3800,RUA,JERONYMO ZELMANOVITZ,JARDIM LINDOIA,PORTO ALEGRE,RS,70.0,2,2,2,432502,1,1,0,0,2023-08-03,-,-30.0094886,-51.1463521
APARTAMENTO,ALUGAR,4550,3200,RUA,ROQUE CALAGE,PASSO DA AREIA,PORTO ALEGRE,RS,70.0,3,2,2,424051,0,0,0,0,2023-08-03,-,-30.0145437,-51.1635877
APARTAMENTO,ALUGAR,3778,3100,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,30.0,1,0,1,421785,1,0,0,1,2023-08-03,-,-30.0279761,-51.2058778
