TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,MOBILIADO,PRONTO_PARA_MORAR,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
APARTAMENTO,COMPRA,1080000,1080000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,137.0,3,2,2,430010,0.0,0,0,0,2023-08-05,-,-30.0401239,-51.1867485
PREDIO,COMPRA,2500000,2250000,RUA,DOUTOR PEREIRA NETO,TRISTEZA,PORTO ALEGRE,RS,701.0,0,10,0,334874,1.0,1,0,0,2023-08-05,-,-30.1067885,-51.2363146
PREDIO,COMPRA,2360000,2242000,RUA,DUQUE DE CAXIAS,CENTRO HISTORICO,PORTO ALEGRE,RS,370.0,0,0,8,416408,0.0,1,0,0,2023-08-05,-,-30.0336261,-51.228012
PREDIO,COMPRA,2015000,1900000,AVENIDA,ERICO VERISSIMO,MENINO DEUS,PORTO ALEGRE,RS,546.0,3,0,5,375061,0.0,0,0,0,2023-08-05,-,-30.0444453,-51.2203463
CASA COMERCIAL,COMPRA,2000000,1700000,RUA,JOAO ALFREDO,CIDADE BAIXA,PORTO ALEGRE,RS,500.0,0,0,0,288771,0.0,0,0,0,2023-08-05,-,-30.0432058,-51.2237715
CASA,COMPRA,1600000,1440000,AVENIDA,AMAZONAS,SAO GERALDO,PORTO ALEGRE,RS,354.0,9,5,5,416083,0.0,0,0,0,2023-08-05,-,-30.0119974,-51.1981172
SALA/CONJUNTO COMERCIAL,COMPRA,1300000,950000,RUA,COSTA,MENINO DEUS,PORTO ALEGRE,RS,46.0,0,1,2,422451,0.0,0,0,0,2023-08-05,-,-30.0584165,-51.2293844
CASA COMERCIAL,COMPRA,1200000,999500,AVENIDA,WENCESLAU ESCOBAR,TRISTEZA,PORTO ALEGRE,RS,150.0,1,5,1,376261,0.0,1,0,0,2023-08-05,-,-30.1005917,-51.2488704
PREDIO,COMPRA,1200000,1140000,RUA,MARECHAL FLORIANO PEIXOTO,CENTRO HISTORICO,PORTO ALEGRE,RS,334.0,0,0,1,401347,0.0,0,0,0,2023-08-05,-,-30.0305905,-51.2268791
SALA/CONJUNTO COMERCIAL,COMPRA,1193479,1031076,RUA,DONA LAURA,MOINHOS DE VENTO,PORTO ALEGRE,RS,66.0,0,2,0,97072,0.0,0,0,1,2023-08-05,-,-30.0292454,-51.1953876
APARTAMENTO,COMPRA,1170000,1110000,AVENIDA,GANZO,MENINO DEUS,PORTO ALEGRE,RS,129.0,3,2,2,220688,0.0,0,0,0,2023-08-05,-,-30.0519459,-51.222018
SOBRADO,COMPRA,1100000,970000,RUA,CONDE DE PORTO ALEGRE,FLORESTA,PORTO ALEGRE,RS,460.0,1,0,1,389385,0.0,0,0,0,2023-08-05,-,-30.0146885,-51.2053142
PREDIO,COMPRA,1000000,950000,AVENIDA,DESEMBARGADOR ANDRE DA ROCHA,CENTRO HISTORICO,PORTO ALEGRE,RS,587.0,0,0,1,401372,0.0,0,0,0,2023-08-05,-,-30.0348302,-51.2255823
PREDIO,COMPRA,990000,891000,RUA,BARONESA DO GRAVATAI,MENINO DEUS,PORTO ALEGRE,RS,180.0,0,3,0,280050,0.0,1,0,0,2023-08-05,-,-30.0429701,-51.2260015
APARTAMENTO,COMPRA,960000,870000,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,62.0,1,0,1,418978,0.0,0,0,1,2023-08-05,-,-30.0279761,-51.2058778
LOJA,COMPRA,900000,810000,RUA,ERNESTO DA FONTOURA,SAO GERALDO,PORTO ALEGRE,RS,336.0,0,4,1,409618,0.0,0,0,0,2023-08-05,-,-30.0715264,-51.0254108
SALA/CONJUNTO COMERCIAL,COMPRA,872000,739000,AVENIDA,WENCESLAU ESCOBAR,TRISTEZA,PORTO ALEGRE,RS,53.0,0,1,0,330209,0.0,1,0,0,2023-08-05,-,-30.1005917,-51.2488704
CASA COMERCIAL,COMPRA,852000,750000,AVENIDA,TRAMANDAI,IPANEMA,PORTO ALEGRE,RS,120.0,0,4,0,103739,0.0,1,0,0,2023-08-05,-,-30.1335443,-51.2309003
CASA,COMPRA,850000,790000,RUA,GENERAL COUTO DE MAGALHAES,HIGIENOPOLIS,PORTO ALEGRE,RS,220.0,4,1,3,128191,0.0,1,0,0,2023-08-05,-,-30.0147886,-51.1853308
DEPOSITO/ARMAZEM/PAVILHAO,COMPRA,800000,750000,RUA,SAO JORGE,NAVEGANTES,PORTO ALEGRE,RS,423.0,0,1,1,385263,0.0,1,0,0,2023-08-05,-,-29.9941796,-51.2015885
DEPOSITO/ARMAZEM/PAVILHAO,COMPRA,760000,722000,AVENIDA,BALTAZAR DE OLIVEIRA GARCIA,SAO SEBASTIAO,PORTO ALEGRE,RS,303.0,0,0,2,422958,0.0,0,0,0,2023-08-05,-,-30.0118018,-51.0949431
SALA/CONJUNTO COMERCIAL,COMPRA,726900,689900,AVENIDA,PADRE CACIQUE,PRAIA DE BELAS,PORTO ALEGRE,RS,34.0,0,1,1,401492,0.0,0,0,1,2023-08-05,-,-30.0771014,-51.2446466
PREDIO,COMPRA,720000,684000,RUA,MARECHAL FLORIANO PEIXOTO,CENTRO HISTORICO,PORTO ALEGRE,RS,240.0,0,1,0,106292,0.0,0,0,0,2023-08-05,-,-30.0305905,-51.2268791
CASA,COMPRA,695000,650000,AVENIDA,GENERAL EMILIO LUCIO ESTEVES,SANTA MARIA GORETTI,PORTO ALEGRE,RS,222.0,3,0,1,414816,0.0,0,0,0,2023-08-05,-,-30.0048911,-51.1787184
DEPOSITO/ARMAZEM/PAVILHAO,COMPRA,680000,646000,RUA,DESEMBARGADOR SOLON MACEDONIA SOARES,SAO SEBASTIAO,PORTO ALEGRE,RS,300.0,0,3,0,319539,0.0,1,0,0,2023-08-05,-,-30.000078,-51.1426127
SALA/CONJUNTO COMERCIAL,COMPRA,645000,598000,RUA,JERONIMO COELHO,CENTRO HISTORICO,PORTO ALEGRE,RS,132.0,0,0,1,421861,0.0,0,0,0,2023-08-05,-,-30.0197123,-51.0537699
SALA/CONJUNTO COMERCIAL,COMPRA,645000,598000,RUA,JERONIMO COELHO,CENTRO HISTORICO,PORTO ALEGRE,RS,132.0,0,0,1,421821,0.0,0,0,0,2023-08-05,-,-30.0197123,-51.0537699
SALA/CONJUNTO COMERCIAL,COMPRA,645000,598000,RUA,JERONIMO COELHO,CENTRO HISTORICO,PORTO ALEGRE,RS,132.0,0,0,1,421867,0.0,0,0,0,2023-08-05,-,-30.0197123,-51.0537699
SALA/CONJUNTO COMERCIAL,COMPRA,645000,598000,RUA,JERONIMO COELHO,CENTRO HISTORICO,PORTO ALEGRE,RS,132.0,0,0,1,421814,0.0,0,0,0,2023-08-05,-,-30.0197123,-51.0537699
LOJA,COMPRA,600000,500000,RUA,GENERAL CAMARA,CENTRO HISTORICO,PORTO ALEGRE,RS,228.0,0,0,1,378181,0.0,0,0,0,2023-08-05,-,-30.0614614,-51.1025552
SALA/CONJUNTO COMERCIAL,COMPRA,600000,540000,RUA,SETE DE ABRIL,FLORESTA,PORTO ALEGRE,RS,99.0,0,0,3,416628,0.0,0,0,0,2023-08-05,-,-30.0165789,-51.2097998
SALA/CONJUNTO COMERCIAL,COMPRA,589000,559000,PRACA,QUINZE DE NOVEMBRO,CENTRO HISTORICO,PORTO ALEGRE,RS,172.0,0,0,0,254722,0.0,0,0,0,2023-08-05,-,-30.028453550000002,-51.22724002054571
PAVILHAO,COMPRA,585000,550000,RUA,JOAO MORAES,SARANDI,PORTO ALEGRE,RS,280.0,0,0,0,357207,0.0,0,0,0,2023-08-05,-,-29.9829146,-51.1249203
SALA/CONJUNTO COMERCIAL,COMPRA,550000,520000,RUA,ANTONIO CARLOS BERTA,JARDIM EUROPA,PORTO ALEGRE,RS,39.0,0,1,0,235910,0.0,1,0,0,2023-08-05,-,-30.0254194,-51.1612614
SALA/CONJUNTO COMERCIAL,COMPRA,550000,522500,RUA,WASHINGTON LUIZ,CENTRO HISTORICO,PORTO ALEGRE,RS,66.0,0,0,0,248319,0.0,0,0,0,2023-08-05,-,-30.0375487,-51.2291911
LOJA,COMPRA,550000,522500,AVENIDA,OSVALDO ARANHA,BOM FIM,PORTO ALEGRE,RS,200.0,0,0,0,16162,0.0,0,1,0,2023-08-05,-,-30.0354441,-51.2112849
