TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,PRONTO_PARA_MORAR,ALUGA_RAPIDO_SEM_FIADOR_OU_GARANTIAS,AUXI_PLUS
LOJA,ALUGAR,39000,1950,AVENIDA,VENANCIO AIRES,CIDADE BAIXA,PORTO ALEGRE,RS,78.0,0,2,0,429182,1.0,0,2023-08-05,-,-30.0370093,-51.2092281,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,46550,2328,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,233.0,0,0,0,342485,1.0,0,2023-08-05,-,-30.0296388,-51.2232103,,,,,
LOJA,ALUGAR,69000,3450,AVENIDA,CAIRU,NAVEGANTES,PORTO ALEGRE,RS,170.0,0,5,0,342742,1.0,0,2023-08-05,-,-30.006866,-51.1924578,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,13000,1105,RUA,GENERAL VITORINO,CENTRO HISTORICO,PORTO ALEGRE,RS,120.0,0,0,0,240274,1.0,0,2023-08-05,-,-30.0282151,-51.0534922,,,,,
SALA/CONJUNTO COMERCIAL,ALUGAR,23000,2070,RUA,RAMIRO BARCELOS,FLORESTA,PORTO ALEGRE,RS,89.0,0,1,1,413324,1.0,0,2023-08-05,-,-30.0287082,-51.2085122,,,,,
LOJA,ALUGAR,57000,2850,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,106.0,0,0,0,418004,0.0,0,2023-08-05,-,-30.0002978,-51.1911983,,,,,
LOJA,ALUGAR,30000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61.0,0,0,0,417996,0.0,0,2023-08-05,-,-30.0002978,-51.1911983,,,,,
LOJA,ALUGAR,57000,2850,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,106.0,0,0,0,417997,0.0,0,2023-08-05,-,-30.0002978,-51.1911983,,,,,
LOJA,ALUGAR,30000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61.0,0,0,0,417998,0.0,0,2023-08-05,-,-30.0002978,-51.1911983,,,,,
LOJA,ALUGAR,30000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61.0,0,0,0,417999,0.0,0,2023-08-05,-,-30.0002978,-51.1911983,,,,,
LOJA,ALUGAR,30000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61.0,0,0,0,418000,0.0,0,2023-08-05,-,-30.0002978,-51.1911983,,,,,
LOJA,ALUGAR,30000,1500,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,61.0,0,0,0,418001,0.0,0,2023-08-05,-,-30.0002978,-51.1911983,,,,,
LOJA,ALUGAR,57000,2850,AVENIDA,CEARA,SAO JOAO,PORTO ALEGRE,RS,106.0,0,0,0,418003,0.0,0,2023-08-05,-,-30.0002978,-51.1911983,,,,,
