TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,PRONTO_PARA_MORAR,ALUGA_RAPIDO_SEM_FIADOR_OU_GARANTIAS,AUXI_PLUS
APARTAMENTO,ALUGAR,29430,2200,AVENIDA,PROTASIO ALVES,PETROPOLIS,PORTO ALEGRE,RS,62.0,2,2,1,419427,1.0,0,2023-08-03,-,-30.0399646,-51.1714215,,,,1.0,1.0
APARTAMENTO,ALUGAR,30980,2490,RUA,DOUTOR ARMANDO BARBEDO,TRISTEZA,PORTO ALEGRE,RS,39.0,1,1,1,346900,1.0,0,2023-08-03,-,-30.1100736,-51.2494348,,,,1.0,1.0
APARTAMENTO,ALUGAR,44000,3960,RUA,MACHADO DE ASSIS,JARDIM BOTANICO,PORTO ALEGRE,RS,80.0,2,2,1,365325,1.0,0,2023-08-03,-,-30.0527929,-51.1928342,,,,1.0,1.0
APARTAMENTO,ALUGAR,15000,1350,RUA,DOMINGOS MARTINS,CRISTO REDENTOR,PORTO ALEGRE,RS,55.0,1,0,1,296760,1.0,0,2023-08-03,-,-30.0088892,-51.1582841,,,,1.0,0.0
APARTAMENTO,ALUGAR,63910,4800,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,42.0,1,1,2,361941,1.0,0,2023-08-03,-,-30.0401239,-51.1867485,,,,1.0,1.0
APARTAMENTO,ALUGAR,29500,2065,RUA,JOSE JULIANO,SAO SEBASTIAO,PORTO ALEGRE,RS,83.0,3,2,2,394443,0.0,0,2023-08-03,-,-30.0014549,-51.1425462,,,,1.0,1.0
APARTAMENTO,ALUGAR,90000,7200,AVENIDA,TULIO DE ROSE,JARDIM EUROPA,PORTO ALEGRE,RS,163.0,3,2,4,399452,0.0,0,2023-08-03,-,-30.0228829,-51.1632627,,,,1.0,1.0
APARTAMENTO,ALUGAR,25000,2000,AVENIDA,JOAO PESSOA,CIDADE BAIXA,PORTO ALEGRE,RS,20.0,1,1,1,417785,0.0,0,2023-08-03,-,-30.0470064,-51.211756,,,,1.0,1.0
APARTAMENTO,ALUGAR,33000,2970,RUA,PROFESSOR CRISTIANO FISCHER,PETROPOLIS,PORTO ALEGRE,RS,71.0,2,1,2,421947,0.0,0,2023-08-03,-,-30.0554208,-51.1691642,,,,1.0,1.0
APARTAMENTO,ALUGAR,30000,2700,AVENIDA,DOUTOR NILO PECANHA,CHACARA DAS PEDRAS,PORTO ALEGRE,RS,102.0,1,1,2,421963,0.0,0,2023-08-03,-,-30.0290116,-51.1578614,,,,1.0,0.0
APARTAMENTO,ALUGAR,23500,2115,RUA,PORTUGAL,SAO JOAO,PORTO ALEGRE,RS,77.0,2,2,1,327370,0.0,0,2023-08-03,-,-29.3356403,-49.7424394,,,,1.0,1.0
CASA EM CONDOMINIO,ALUGAR,45000,4050,TRAVESSA,PEDRA REDONDA,PEDRA REDONDA,PORTO ALEGRE,RS,335.0,4,2,4,265303,0.0,0,2023-08-03,-,-30.1268004,-51.2412863,,,,1.0,1.0
APARTAMENTO,ALUGAR,69620,5500,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,42.0,1,0,2,363208,0.0,1,2023-08-03,-,-30.0401239,-51.1867485,,,,1.0,1.0
APARTAMENTO,ALUGAR,19900,1791,RUA,FREDERICO OTAVIO DOMINGUES BARBOSA,SAO SEBASTIAO,PORTO ALEGRE,RS,61.0,2,1,2,324705,1.0,0,2023-08-03,-,-30.0056294,-51.1415747,,,,0.0,0.0
APARTAMENTO,ALUGAR,17500,1575,AVENIDA,JOSE ALOISIO FILHO,HUMAITA,PORTO ALEGRE,RS,58.0,2,1,1,297783,1.0,1,2023-08-03,-,-29.9764724,-51.1825072,,,,0.0,0.0
APARTAMENTO,ALUGAR,73280,6000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,44.0,1,0,1,348685,1.0,0,2023-08-03,-,-30.0401239,-51.1867485,,,,0.0,1.0
APARTAMENTO,ALUGAR,72790,6000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,44.0,1,0,1,348694,1.0,0,2023-08-03,-,-30.0401239,-51.1867485,,,,0.0,1.0
APARTAMENTO,ALUGAR,72890,6000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,44.0,1,0,1,348696,1.0,0,2023-08-03,-,-30.0401239,-51.1867485,,,,0.0,1.0
APARTAMENTO,ALUGAR,16000,1440,AVENIDA,PROTASIO ALVES,PETROPOLIS,PORTO ALEGRE,RS,60.0,3,2,1,340844,0.0,0,2023-08-03,-,-30.0399646,-51.1714215,,,,0.0,0.0
APARTAMENTO,ALUGAR,48410,3600,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,42.0,1,0,2,371948,0.0,1,2023-08-03,-,-30.0401239,-51.1867485,,,,0.0,1.0
APARTAMENTO,ALUGAR,31930,2400,RUA,FREDERICO OTAVIO DOMINGUES BARBOSA,SAO SEBASTIAO,PORTO ALEGRE,RS,70.0,2,1,2,421688,1.0,0,2023-08-03,-,-30.0056294,-51.1415747,,,,1.0,1.0
APARTAMENTO,ALUGAR,35480,2800,RUA,ARI MARINHO,HIGIENOPOLIS,PORTO ALEGRE,RS,84.0,2,1,2,418053,1.0,0,2023-08-03,-,-30.0132564,-51.1796773,,,,1.0,1.0
APARTAMENTO,ALUGAR,25010,1800,RUA,SANTANA,FARROUPILHA,PORTO ALEGRE,RS,50.0,2,1,2,393339,1.0,1,2023-08-03,-,-30.045428,-51.209781,,,,1.0,0.0
CASA EM CONDOMINIO,ALUGAR,51670,4500,RUA,LANDEL DE MOURA,TRISTEZA,PORTO ALEGRE,RS,142.0,3,2,2,372322,1.0,0,2023-08-03,-,-30.1090502,-51.2352389,,,,1.0,0.0
APARTAMENTO,ALUGAR,48720,3800,AVENIDA,ANDARAI,PASSO DA AREIA,PORTO ALEGRE,RS,70.0,3,1,2,431718,1.0,0,2023-08-03,-,-29.9284627,-51.0643059,,,,1.0,0.0
APARTAMENTO,ALUGAR,33890,2700,RUA,JOAQUIM CRUZ,SANTO ANTONIO,PORTO ALEGRE,RS,70.0,3,1,2,423898,1.0,1,2023-08-03,-,-30.0592444,-51.198199,,,,1.0,0.0
APARTAMENTO,ALUGAR,40430,3300,RUA,ARI MARINHO,HIGIENOPOLIS,PORTO ALEGRE,RS,83.0,2,2,2,421907,1.0,1,2023-08-03,-,-30.0132564,-51.1796773,,,,1.0,0.0
APARTAMENTO,ALUGAR,31290,2500,AVENIDA,JOAO PESSOA,FARROUPILHA,PORTO ALEGRE,RS,70.0,2,1,1,429925,1.0,1,2023-08-03,-,-30.0470064,-51.211756,,,,1.0,0.0
APARTAMENTO,ALUGAR,53420,4500,RUA,PASSO DA PATRIA,BELA VISTA,PORTO ALEGRE,RS,120.0,3,1,2,418096,1.0,0,2023-08-03,-,-30.0376664,-51.1945404,,,,1.0,0.0
CASA,ALUGAR,43280,4100,RUA,LIBERAL,TRISTEZA,PORTO ALEGRE,RS,105.0,3,0,1,419460,1.0,0,2023-08-03,-,-30.1093372,-51.2287885,,,,1.0,0.0
APARTAMENTO,ALUGAR,32810,2700,RUA,SAPE,PASSO DA AREIA,PORTO ALEGRE,RS,56.0,2,1,2,415085,1.0,1,2023-08-03,-,-30.0175997,-51.155847,,,,1.0,0.0
APARTAMENTO,ALUGAR,41810,3000,RUA,CARLOS VON KOSERITZ,HIGIENOPOLIS,PORTO ALEGRE,RS,134.0,3,1,2,402384,1.0,0,2023-08-03,-,-30.0162502,-51.1877327,,,,1.0,0.0
APARTAMENTO,ALUGAR,62490,5550,RUA,GENERAL CALDWELL,MENINO DEUS,PORTO ALEGRE,RS,85.0,3,2,2,411191,1.0,0,2023-08-03,-,-30.0516307,-51.2148543,,,,1.0,0.0
APARTAMENTO,ALUGAR,46730,3500,RUA,GENERAL COUTO DE MAGALHAES,SAO JOAO,PORTO ALEGRE,RS,115.0,3,2,2,412436,1.0,0,2023-08-03,-,-30.0147886,-51.1853308,,,,1.0,0.0
APARTAMENTO,ALUGAR,23750,2100,RUA,PROFESSOR ABILIO AZAMBUJA,JARDIM DO SALSO,PORTO ALEGRE,RS,42.0,1,0,1,389615,1.0,1,2023-08-03,-,-30.0474144,-51.1649083,,,,1.0,0.0
APARTAMENTO,ALUGAR,14300,1150,RUA,PAULO RENATO KETZER DE SOUZA,RUBEM BERTA,PORTO ALEGRE,RS,38.0,2,0,1,389843,1.0,0,2023-08-03,-,-30.0154404,-51.1015604,,,,0.0,0.0
APARTAMENTO,ALUGAR,31070,2390,RUA,GENERAL LIMA E SILVA,CENTRO HISTORICO,PORTO ALEGRE,RS,50.0,2,1,1,385500,1.0,0,2023-08-03,-,-30.0402042,-51.2190355,,,,1.0,0.0
COBERTURA,ALUGAR,30430,2500,RUA,LIBERO BADARO,PASSO DA AREIA,PORTO ALEGRE,RS,75.0,2,0,2,383654,1.0,1,2023-08-03,-,-30.002757,-51.0628987,,,,0.0,0.0
APARTAMENTO,ALUGAR,52830,4500,RUA,DOUTOR BARROS CASSAL,BOM FIM,PORTO ALEGRE,RS,92.0,3,1,2,384016,1.0,0,2023-08-03,-,-30.0277651,-51.2172752,,,,1.0,0.0
APARTAMENTO,ALUGAR,31150,2300,RUA,JERONYMO ZELMANOVITZ,JARDIM LINDOIA,PORTO ALEGRE,RS,57.0,2,2,2,367633,1.0,0,2023-08-03,-,-30.0094886,-51.1463521,,,,1.0,0.0
APARTAMENTO,ALUGAR,37260,3000,RUA,PROFESSOR FREITAS E CASTRO,AZENHA,PORTO ALEGRE,RS,58.0,1,1,2,377233,1.0,1,2023-08-03,-,-30.0470146,-51.2097451,,,,1.0,0.0
APARTAMENTO,ALUGAR,36980,2900,AVENIDA,DOUTOR NILO PECANHA,CHACARA DAS PEDRAS,PORTO ALEGRE,RS,60.0,1,2,2,381100,1.0,0,2023-08-03,-,-30.0290116,-51.1578614,,,,0.0,0.0
APARTAMENTO,ALUGAR,39690,2800,AVENIDA,DA CAVALHADA,CAVALHADA,PORTO ALEGRE,RS,89.0,2,1,2,341453,1.0,0,2023-08-03,-,-30.0953116,-51.225989,,,,1.0,0.0
APARTAMENTO,ALUGAR,64220,5000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,45.0,1,0,1,362668,1.0,0,2023-08-03,-,-30.0401239,-51.1867485,,,,1.0,1.0
APARTAMENTO,ALUGAR,32950,2700,RUA,JOAQUIM CRUZ,SANTO ANTONIO,PORTO ALEGRE,RS,69.0,3,2,2,350703,1.0,1,2023-08-03,-,-30.0592444,-51.198199,,,,1.0,0.0
APARTAMENTO,ALUGAR,37010,2990,RUA,TOMAZ FLORES,INDEPENDENCIA,PORTO ALEGRE,RS,66.0,2,1,1,318619,1.0,1,2023-08-03,-,-30.0308315,-51.2159955,,,,1.0,0.0
APARTAMENTO,ALUGAR,32640,2300,RUA,ALVARES MACHADO,PETROPOLIS,PORTO ALEGRE,RS,110.0,2,0,2,329245,1.0,1,2023-08-03,-,-30.0465408,-51.1873954,,,,1.0,0.0
APARTAMENTO,ALUGAR,35410,2790,RUA,DARIO TOTTA,TERESOPOLIS,PORTO ALEGRE,RS,74.0,3,1,2,326165,1.0,0,2023-08-03,-,-29.9197014,-51.053429,,,,1.0,0.0
APARTAMENTO,ALUGAR,41530,3250,AVENIDA,LUIZ MANOEL GONZAGA,TRES FIGUEIRAS,PORTO ALEGRE,RS,60.0,1,1,1,328598,1.0,1,2023-08-03,-,-30.0332832,-51.176097,,,,1.0,0.0
KITNET/JK,ALUGAR,28540,2250,AVENIDA,IPIRANGA,JARDIM BOTANICO,PORTO ALEGRE,RS,38.0,1,1,1,320097,1.0,0,2023-08-03,-,-30.0554878,-51.1692291,,,,1.0,0.0
APARTAMENTO,ALUGAR,28830,2290,RUA,JOAQUIM CRUZ,SANTO ANTONIO,PORTO ALEGRE,RS,69.0,3,2,2,334914,1.0,0,2023-08-03,-,-30.0592444,-51.198199,,,,1.0,0.0
APARTAMENTO,ALUGAR,29970,2250,AVENIDA,BENTO GONCALVES,PETROPOLIS,PORTO ALEGRE,RS,67.0,2,1,2,299936,1.0,1,2023-08-03,-,-30.0760656,-51.1315976,,,,1.0,0.0
APARTAMENTO,ALUGAR,17150,1350,RUA,ANGELO CRIVELLARO,JARDIM DO SALSO,PORTO ALEGRE,RS,45.0,1,0,1,286958,1.0,0,2023-08-03,-,-30.0481076,-51.1647287,,,,0.0,0.0
APARTAMENTO,ALUGAR,37030,2800,AVENIDA,GRECIA,PASSO DA AREIA,PORTO ALEGRE,RS,71.0,2,1,2,287609,1.0,1,2023-08-03,-,-30.0136054,-51.1660884,,,,1.0,0.0
APARTAMENTO,ALUGAR,36310,2950,RUA,CARLOS SILVEIRA MARTINS PACHECO,CRISTO REDENTOR,PORTO ALEGRE,RS,70.0,3,1,2,289519,1.0,0,2023-08-03,-,-30.0112501,-51.1593714,,,,0.0,0.0
APARTAMENTO,ALUGAR,43820,3000,RUA,RIBEIRO CANCELA,MENINO DEUS,PORTO ALEGRE,RS,121.0,3,1,2,297788,1.0,1,2023-08-03,-,-30.0584792,-51.2288371,,,,0.0,0.0
APARTAMENTO,ALUGAR,41810,3400,AVENIDA,VERISSIMO DE AMARAL,JARDIM EUROPA,PORTO ALEGRE,RS,35.0,1,1,1,253597,1.0,1,2023-08-03,-,-30.027676,-51.1588643,,,,1.0,0.0
