TITULO,OFERTA,VALORES,VALORES_PROMO,LOCATION,CITY,STATE,METRAGEM,QUARTO,GARAGEM,BANHEIRO,KEY,REF_DATE,LAST_DATE
Cobertura,COMPRA,1550000,   1470000,Bela Vista,Porto Alegre,RS,227,3,3,4,416433,26-07-2023,-
Apartamento,COMPRA,685000,   650000,Higienópolis,Porto Alegre,RS,83,2,2,2,211111,26-07-2023,-
Apartamento,COMPRA,7550000,   6950000,Moinhos de Vento,Porto Alegre,RS,331,3,4,4,42799,26-07-2023,-
Apartamento,COMPRA,490000,   465500,Jardim Sabará,Porto Alegre,RS,64,2,2,2,410876,26-07-2023,-
Apartamento,COMPRA,398800,   375000,Teresópolis,Porto Alegre,RS,72,3,1,2,355785,26-07-2023,-
Kitnet/JK,COMPRA,307400,   210000,Independência,Porto Alegre,RS,66,1,0,1,342267,26-07-2023,-
Apartamento,COMPRA,215000,215000,Tristeza,Porto Alegre,RS,65,2,1,1,378479,26-07-2023,-
Apartamento,COMPRA,853000,853000,Petrópolis,Porto Alegre,RS,108,3,2,3,283283,26-07-2023,-
Apartamento,COMPRA,530000,530000,Menino Deus,Porto Alegre,RS,68,2,1,2,418824,26-07-2023,-
Apartamento,COMPRA,698000,698000,Menino Deus,Porto Alegre,RS,91,3,2,3,221614,26-07-2023,-
Apartamento,COMPRA,1280000,1280000,Menino Deus,Porto Alegre,RS,184,3,2,3,421001,26-07-2023,-
Apartamento,COMPRA,580000,580000,Passo da Areia,Porto Alegre,RS,71,2,2,2,419873,26-07-2023,-
Apartamento,COMPRA,930000,930000,Passo da Areia,Porto Alegre,RS,106,3,2,2,421783,26-07-2023,-
Apartamento,COMPRA,660000,660000,Bom Fim,Porto Alegre,RS,141,3,0,1,344829,26-07-2023,-
Apartamento,COMPRA,460000,460000,Jardim Botânico,Porto Alegre,RS,69,2,1,3,423086,26-07-2023,-
Apartamento,COMPRA,3750000,3750000,Bela Vista,Porto Alegre,RS,420,3,3,4,424223,26-07-2023,-
Apartamento,COMPRA,590000,590000,Higienópolis,Porto Alegre,RS,80,2,2,2,418329,26-07-2023,-
Apartamento,COMPRA,440000,440000,Cidade Baixa,Porto Alegre,RS,68,2,1,2,216984,26-07-2023,-
Apartamento,COMPRA,445000,445000,Petrópolis,Porto Alegre,RS,65,1,1,2,15610,26-07-2023,-
Apartamento,COMPRA,390000,390000,Mont Serrat,Porto Alegre,RS,70,3,2,2,220340,26-07-2023,-
Apartamento,COMPRA,225000,225000,Auxiliadora,Porto Alegre,RS,40,1,0,1,410306,26-07-2023,-
Apartamento,COMPRA,298000,298000,Independência,Porto Alegre,RS,83,1,1,1,410167,26-07-2023,-
Cobertura,COMPRA,440000,440000,Santana,Porto Alegre,RS,96,2,1,2,412626,26-07-2023,-
Apartamento,COMPRA,620000,620000,Boa Vista,Porto Alegre,RS,82,2,1,2,422744,26-07-2023,-
Apartamento,COMPRA,480000,480000,Cidade Baixa,Porto Alegre,RS,33,1,1,2,422395,26-07-2023,-
Apartamento,COMPRA,249000,249000,Azenha,Porto Alegre,RS,61,2,0,1,126051,26-07-2023,-
Apartamento,COMPRA,235000,235000,Centro Histórico,Porto Alegre,RS,52,1,0,2,391599,26-07-2023,-
Casa,COMPRA,324000,324000,Hípica,Porto Alegre,RS,86,2,2,3,403226,26-07-2023,-
Kitnet/JK,COMPRA,165000,165000,Menino Deus,Porto Alegre,RS,32,1,0,1,345969,26-07-2023,-
Apartamento,COMPRA,205000,205000,Jardim do Salso,Porto Alegre,RS,58,2,0,1,167435,26-07-2023,-
Apartamento,COMPRA,459000,459000,Auxiliadora,Porto Alegre,RS,106,3,1,1,385141,26-07-2023,-
Casa,COMPRA,650000,650000,Guarujá,Porto Alegre,RS,123,3,2,2,239328,26-07-2023,-
Apartamento,COMPRA,290000,290000,Centro Histórico,Porto Alegre,RS,43,1,1,1,140025,26-07-2023,-
Apartamento,COMPRA,225000,225000,Centro Histórico,Porto Alegre,RS,47,1,0,1,162667,26-07-2023,-
Apartamento,COMPRA,995500,995500,Menino Deus,Porto Alegre,RS,125,3,2,2,429807,26-07-2023,-
Apartamento,COMPRA,149000,149000,Passo da Areia,Porto Alegre,RS,63,2,0,1,417417,26-07-2023,-
Apartamento,COMPRA,255000,255000,Jardim Botânico,Porto Alegre,RS,55,2,0,1,419277,26-07-2023,-
Apartamento,COMPRA,601207,601207,Bom Fim,Porto Alegre,RS,56,2,1,2,274516,26-07-2023,-
Apartamento,COMPRA,230000,230000,Centro Histórico,Porto Alegre,RS,50,2,0,1,422607,26-07-2023,-
Apartamento,COMPRA,420000,420000,Cidade Baixa,Porto Alegre,RS,60,2,1,1,159876,26-07-2023,-
Apartamento,COMPRA,508000,508000,Centro Histórico,Porto Alegre,RS,147,3,1,1,352391,26-07-2023,-
Apartamento,COMPRA,515000,515000,São Sebastião,Porto Alegre,RS,61,2,1,2,422336,26-07-2023,-
Apartamento,COMPRA,1080000,1080000,petropólis,Porto Alegre,RS,138,3,4,2,416869,26-07-2023,-
Cobertura,COMPRA,1300000,1300000,Jardim Lindóia,Porto Alegre,RS,250,3,4,2,416128,26-07-2023,-
Apartamento,COMPRA,199000,199000,Cidade Baixa,Porto Alegre,RS,54,1,0,1,260842,26-07-2023,-
Apartamento,COMPRA,300000,300000,Boa Vista,Porto Alegre,RS,46,1,1,1,373025,26-07-2023,-
Apartamento,COMPRA,189000,189000,Centro Histórico,Porto Alegre,RS,27,1,0,1,220652,26-07-2023,-
Apartamento,COMPRA,465000,465000,Cristo Redentor,Porto Alegre,RS,72,2,1,2,169346,26-07-2023,-
Lote/terreno,COMPRA,4750000,   4512500,Teresópolis,Porto Alegre,RS,11460,0,0,0,360732,26-07-2023,-
Casa,COMPRA,4000000,   3800000,Petrópolis,Porto Alegre,RS,300,5,4,5,391229,26-07-2023,-
Casa,COMPRA,3740000,   3553000,Chácara das Pedras,Porto Alegre,RS,406,6,3,8,384756,26-07-2023,-
Casa em Condomínio,COMPRA,3680000,   3450000,Boa Vista,Porto Alegre,RS,368,4,5,5,429808,26-07-2023,-
Lote/terreno,COMPRA,3000000,   2500000,Vila Nova,PORTO ALEGRE,RS,28097,0,0,0,38883,26-07-2023,-
Casa,COMPRA,2990000,   2500000,Vila Jardim,Porto Alegre,RS,600,4,3,6,307959,26-07-2023,-
Casa em Condomínio,COMPRA,2890000,   2490000,Vila Nova,Porto Alegre,RS,300,3,4,4,97087,26-07-2023,-
Casa,COMPRA,2800000,   2300000,Vila Assunção,Porto Alegre,RS,365,3,4,5,352810,26-07-2023,-
Cobertura,COMPRA,2750000,   2612500,Auxiliadora,Porto Alegre,RS,383,3,3,4,308932,26-07-2023,-
Casa em Condomínio,COMPRA,2690000,   2390000,Alphaville,Porto Alegre,RS,399,4,4,5,148480,26-07-2023,-
Cobertura,COMPRA,2680000,   2450000,Rio Branco,Porto Alegre,RS,289,3,3,2,412958,26-07-2023,-
Apartamento Garden,COMPRA,2650000,   2400000,Bela Vista,Porto Alegre,RS,340,3,2,4,382380,26-07-2023,-
Casa,COMPRA,2645000,   2400000,Menino Deus,Porto Alegre,RS,352,5,2,6,13762,26-07-2023,-
Casa em Condomínio,COMPRA,2600000,   2270000,Vila Nova,Porto Alegre,RS,339,3,4,4,340540,26-07-2023,-
Lote/terreno,COMPRA,2500000,   1999990,Tristeza,Porto Alegre,RS,1699,0,0,0,359488,26-07-2023,-
Cobertura,COMPRA,2450000,   2325000,Bela Vista,Porto Alegre,RS,288,4,2,2,198873,26-07-2023,-
Apartamento,COMPRA,2418280,   2203164,Três Figueiras,Porto Alegre,RS,189,3,3,4,371253,26-07-2023,-
Casa em Condomínio,COMPRA,2400000,   2280000,Vila Nova,Porto Alegre,RS,339,3,2,6,390902,26-07-2023,-
Casa em Condomínio,COMPRA,2400000,   2280000,Ipanema,Porto Alegre,RS,276,3,3,5,147521,26-07-2023,-
Casa,COMPRA,2400000,   2200000,Jardim Itu,Porto Alegre,RS,611,5,6,5,417865,26-07-2023,-
Cobertura,COMPRA,2390000,   2000000,Bela Vista,Porto Alegre,RS,255,3,2,3,137035,26-07-2023,-
Lote/terreno,COMPRA,2385000,   2260980,Tristeza,Porto Alegre,RS,1925,0,0,0,345904,26-07-2023,-
Apartamento,COMPRA,2300000,   2080000,Petrópolis,Porto Alegre,RS,447,4,0,3,390653,26-07-2023,-
Casa em Condomínio,COMPRA,2280000,   2166000,Ipanema,Porto Alegre,RS,273,3,2,5,147514,26-07-2023,-
Casa,COMPRA,2200000,   2090000,Jardim Lindóia,Porto Alegre,RS,590,4,0,5,421636,26-07-2023,-
Apartamento Garden,COMPRA,2170000,   1984000,Três Figueiras,Porto Alegre,RS,196,3,3,3,367623,26-07-2023,-
Apartamento,COMPRA,2154000,   1995000,Bela Vista,Porto Alegre,RS,173,3,3,6,32544,26-07-2023,-
Casa em Condomínio,COMPRA,2150000,   2042500,Ipanema,Porto Alegre,RS,273,3,3,5,147525,26-07-2023,-
Casa em Condomínio,COMPRA,2150000,   2042500,Ipanema,Porto Alegre,RS,276,3,3,5,147526,26-07-2023,-
Casa,COMPRA,2148000,   1599900,Teresópolis,Porto Alegre,RS,340,4,4,5,335202,26-07-2023,-
Casa,COMPRA,2120000,   2014000,Jardim Lindóia,Porto Alegre,RS,240,4,3,3,299812,26-07-2023,-
Apartamento,COMPRA,2100000,   1900000,Independência,Porto Alegre,RS,237,3,2,2,394301,26-07-2023,-
Casa,COMPRA,2000000,   1800000,São Sebastião,Porto Alegre,RS,312,3,5,4,112023,26-07-2023,-
Pavilhão,COMPRA,2000000,   1900000,Floresta,Porto Alegre,RS,1200,1,10,6,421103,26-07-2023,-
Apartamento,COMPRA,1980000,   1700000,São João,Porto Alegre,RS,230,3,3,4,356728,26-07-2023,-
Sobrado,COMPRA,1950000,   1840000,Jardim Botânico,Porto Alegre,RS,294,5,3,5,294356,26-07-2023,-
Casa em Condomínio,COMPRA,1950000,   1852500,Ipanema,Porto Alegre,RS,273,3,2,5,147517,26-07-2023,-
Apartamento,COMPRA,1905000,   1751000,Três Figueiras,Porto Alegre,RS,129,3,2,3,354475,26-07-2023,-
Cobertura,COMPRA,1900000,   1700000,Bela Vista,Porto Alegre,RS,244,4,4,5,361205,26-07-2023,-
Apartamento Garden,COMPRA,1880000,   1729000,Três Figueiras,Porto Alegre,RS,164,3,3,3,354695,26-07-2023,-
Casa,COMPRA,1850000,   1665000,Teresópolis,Porto Alegre,RS,331,4,4,5,381200,26-07-2023,-
Lote/terreno,COMPRA,1850000,   1590000,Cristo Redentor,Porto Alegre,RS,1012,0,0,0,380360,26-07-2023,-
Casa,COMPRA,1800000,   1620000,Vila Assunção,Porto Alegre,RS,679,3,4,5,371746,26-07-2023,-
Apartamento,COMPRA,1800000,   1600000,Bela Vista,Porto Alegre,RS,139,3,2,2,421130,26-07-2023,-
Casa em Condomínio,COMPRA,1800000,   1700000,Vila Nova,Porto Alegre,RS,279,3,3,5,398294,26-07-2023,-
Apartamento,COMPRA,1799000,   1709000,Tristeza,Porto Alegre,RS,149,3,3,5,382278,26-07-2023,-
Apartamento,COMPRA,1790000,   1593000,Moinhos de Vento,Porto Alegre,RS,195,3,1,4,359810,26-07-2023,-
Casa,COMPRA,1790000,   1650000,Jardim Planalto,Porto Alegre,RS,281,3,2,2,389069,26-07-2023,-
Cobertura,COMPRA,1750000,   1650000,Moinhos de Vento,Porto Alegre,RS,245,3,2,4,413929,26-07-2023,-
